,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,40060.806191,3630,12481601997,18688162009,3691067969,20691986,2295979219,244896262,17655685,43540032,1226572,242677766,10.92,5.843271261636675e-10,900
1,40061.696591,3239,11379504018,18306884029,3639099986,18086115,2104743002,232516898,13123974,30467292,897859,217697770,10.75,5.872107991163809e-10,900
2,40044.989486,3255,11818151109,16819995264,3143678908,18112116,1977723177,211104116,17988503,26452951,1344544,244772166,9.8,5.826398786791002e-10,900
3,40074.028905,3259,11838525823,18332115371,3619574072,19204160,2107010646,226515649,15587753,33125807,1179482,232396756,10.37,5.656739437939903e-10,900
4,40050.853982,3244,11702552198,17897848779,3500687180,18886264,2069236988,236768181,13987271,36299519,1126077,210940852,10.18,5.687834401609456e-10,900
5,43689.478001999996,3239,11799654349,18867200595,3790777205,19136891,2212212541,242584414,14683419,34331061,1123581,210876890,11.05,5.856724713537187e-10,900
6,40040.083395,3264,11649744787,18487089762,3749385220,18528742,2202811594,241764885,12335525,33437899,891076,216647111,10.76,5.820277901239521e-10,900
7,43547.640579,7926,12861670676,18873271843,3809816938,24275136,2308692660,242490693,19467413,29505618,1519617,303284759,11.25,5.960810660485754e-10,900
8,40042.261722,5366,11817465889,17159282555,3350938610,21297669,2167653914,219839509,23959137,40487635,1545499,259601343,10.28,5.990926466214368e-10,900
9,43818.674366,3251,11709758652,18877220579,3737864664,18747326,2210297107,245248438,16846431,35356330,1207429,216728290,11.1,5.880102928048749e-10,900
10,40043.290258,3247,11642652474,16971332576,3210888236,18810398,1973856237,216268831,16760451,28118554,1241936,224124975,10.03,5.909966088451957e-10,900
11,40060.427436,3247,11721271805,17906128686,3514058537,18370587,2040685352,211789426,14569937,32543654,1090144,228995390,10.26,5.729881751616046e-10,900
12,40047.10048,3240,11722086465,17384568066,3334061599,19163007,2041300070,227806948,17061632,48151064,1184396,196121034,10.17,5.850015922966792e-10,900
13,40039.668187999996,3254,11607420254,17334066772,3319609313,19009510,2031569830,227122201,15499938,34746984,1044652,196006881,10.16,5.86129044824704e-10,900
14,40048.213099,3248,12132680750,17199093228,3303721087,18687036,2004513426,211701265,16095967,31206642,1072480,232263316,9.78,5.686346291837194e-10,900
15,40042.703563999996,3250,11953395348,17411811918,3359969285,18739032,2002778654,212949426,16513016,31787823,1152974,243756789,10.17,5.840862540840133e-10,900
16,46671.215929000005,3244,12337720193,17742284758,3470048586,18761810,2061032877,230335624,22270025,33790099,1627057,236144470,10.33,5.822249017473469e-10,900
17,40059.000822,3235,11612436607,16554594889,3151730361,17049096,1916434489,207701000,15210613,32296428,1156320,220640237,9.87,5.96209092773288e-10,900
18,40061.717638,3243,11955353929,17429321186,3351916921,17943240,2006447584,211340141,15752231,34573215,1026757,238260777,10.12,5.806307596264179e-10,900
19,40053.040666,3264,11758586077,18136621990,3620547922,19359139,2175374213,244129855,15035444,35610582,1071169,212832848,10.66,5.877610508659005e-10,900
20,40047.009168000004,3636,12393089016,18006886036,3421743757,21705465,2237673464,237880558,19111302,40833945,1388835,272345671,10.67,5.925510928801438e-10,900
21,40066.770453,3255,11535994502,18300732580,3629432519,18119771,2119137253,233054133,13674729,23867170,919452,202265414,10.46,5.715618188657233e-10,900
22,40040.319162,3244,12000839033,18162231117,3603977353,18103805,2109749622,214884974,15672973,33203863,1217335,251714755,10.41,5.731674667577682e-10,900
23,43609.41472,3244,11612106224,16728252706,3268143652,17923036,1947862024,216114215,19519548,27925843,1358793,195756995,9.89,5.912153632430905e-10,900
24,40047.678733,3252,11582346434,17819737493,3502893532,18549899,2094014036,237705259,15900632,31870387,1085591,207406372,10.43,5.853060407930893e-10,900
25,40054.359133,3263,11517664143,17745808456,3461503481,19165143,2075086416,220937590,14087281,34411639,1100886,219181676,10.2,5.747836186381972e-10,900
26,44565.127323,3242,12080404862,16745469872,3163548044,18882557,1978165680,225498994,19056417,30682537,1502668,213320332,10.05,6.00162317141339e-10,900
27,40057.390804,3243,11320211143,17266486645,3302697234,18472677,2049806986,215997184,13301908,30482734,917519,237569976,10.29,5.959521593224503e-10,900
28,40054.563449,3248,11477315946,18439319345,3716080359,18233892,2130035114,228401883,13567128,35625174,946018,222617909,10.63,5.764854874039821e-10,900
29,40049.846175,3264,11732961737,17838908559,3494465126,19432496,2049419527,225410140,16845226,33907931,1170321,231211970,10.4,5.829953085752571e-10,900
30,40051.076781,3256,12004165368,17570371707,3446634787,17934164,2071567060,236697869,13607875,24822078,1035921,203422596,10.17,5.78815301667653e-10,900
31,40055.596551999995,8129,12066776747,18156936061,3527735174,18984221,2146532757,221368477,14171616,29812352,1043374,251415388,10.42,5.738853716834709e-10,900
